ASpace_ID,Names,Authority_ID,Source,Name_Recon,uri
425,Gebr. Fretz (Firm),,library of congress name authority file,Gebr. Fretz (Firm),http://id.loc.gov/authorities/names/nr96027352
426,"New Museum of Contemporary Art (New York, N.Y.)",,library of congress name authority file,"New Museum of Contemporary Art (New York, N.Y.)",http://id.loc.gov/authorities/names/n84148196
427,Whitney Museum of American Art,,library of congress name authority file,Whitney Museum of American Art,http://id.loc.gov/authorities/names/n79032811
428,Merce Cunningham Dance Company,,library of congress name authority file,Merce Cunningham Dance Company,http://id.loc.gov/authorities/names/nr96001835
429,Museo Nacional de México,,library of congress name authority file,Museo Nacional de México,http://id.loc.gov/authorities/names/no88000455
430,Vienna International Exhibition (1873),,library of congress name authority file,Vienna International Exhibition (1873),http://id.loc.gov/authorities/names/n85085328
431,Vizetelly and Company (1850-1855),,library of congress name authority file,Vizetelly and Company (1850-1855),http://id.loc.gov/authorities/names/nr00000797
435,Pagnerre (Firm) ,,library of congress name authority file,Pagnerre (Firm) ,http://id.loc.gov/authorities/names/no2008082820
436,VKhUTEIN (Art School) ,,library of congress name authority file,VKhUTEIN (Art School) ,http://id.loc.gov/authorities/names/n97023135
437,International Congress for Modern Architecture,,,International Congress for Modern Architecture,http://id.loc.gov/authorities/names/n79089248
442,Alfred Schmela Galerie,,library of congress name authority file,Alfred Schmela Galerie,http://id.loc.gov/authorities/names/n97037588
443,Galleria dell'Ariete,,library of congress name authority file,Galleria dell'Ariete,http://id.loc.gov/authorities/names/nr99020738
451,Harrison Price Company,,library of congress name authority file,Harrison Price Company,http://id.loc.gov/authorities/names/n82206404
452,"Texaco, inc.",,library of congress name authority file,"Texaco, inc.",http://id.loc.gov/authorities/names/n79032259
