INFO 2019-08-22 15:27:44,202   Name: Galerie Meissner (Zurich, Switzerland), locID: n85287551, {'status': 'Created', 'id': 1436, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1436', 'warnings': []}
INFO 2019-08-22 15:27:44,617   Name: Heim Gallery, locID: n50065712, {'status': 'Created', 'id': 1437, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1437', 'warnings': []}
INFO 2019-08-22 15:27:45,058   Name: Historians of Netherlandish Art, locID: nr92006392, {'status': 'Created', 'id': 1438, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1438', 'warnings': []}
INFO 2019-08-22 15:27:45,536   Name: National Gallery of Art (U.S.), locID: n79054426, {'status': 'Created', 'id': 1439, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1439', 'warnings': []}
INFO 2019-08-22 15:27:45,959   Name: Newhouse Galleries, locID: n86812407, {'status': 'Created', 'id': 1440, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1440', 'warnings': []}
INFO 2019-08-22 15:27:46,360   Name: Norton Simon, Inc. Foundation , locID: no2011010694, {'status': 'Created', 'id': 1441, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1441', 'warnings': []}
INFO 2019-08-22 15:27:46,797   Name: Pierpont Morgan Library, locID: n78095799, {'status': 'Created', 'id': 1442, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1442', 'warnings': []}
INFO 2019-08-22 15:27:47,222   Name: Ponce Art Museum, locID: n85007594, {'status': 'Created', 'id': 1443, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1443', 'warnings': []}
INFO 2019-08-22 15:27:47,638   Name: Princeton University Press, locID: n80137807, {'status': 'Created', 'id': 1444, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1444', 'warnings': []}
INFO 2019-08-22 15:27:48,072   Name: Sotheby's (Firm), locID: n84160976, {'status': 'Created', 'id': 1445, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1445', 'warnings': []}
INFO 2019-08-22 15:27:48,493   Name: Sterling and Francine Clark Art Institute, locID: n78096939, {'status': 'Created', 'id': 1446, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1446', 'warnings': []}
INFO 2019-08-22 15:27:48,902   Name: Williams College, locID: n79056597, {'status': 'Created', 'id': 1447, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1447', 'warnings': []}
INFO 2019-08-22 15:27:49,299   Name: Something Else Press, locID: n83024327, {'status': 'Created', 'id': 1448, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1448', 'warnings': []}
INFO 2019-08-22 15:27:49,710   Name: Unpublished Editions (Firm) , locID: no2004000177, {'status': 'Created', 'id': 1449, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1449', 'warnings': []}
INFO 2019-08-22 15:27:50,265   Name: Field Museum of Natural History, locID: n79066352, {'status': 'Created', 'id': 1450, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1450', 'warnings': []}
INFO 2019-08-22 15:27:54,372   Name: New York World's Fair (1939-1940), locID: n82144169, {'status': 'Created', 'id': 1451, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1451', 'warnings': []}
INFO 2019-08-22 15:27:54,976   Name: Armand Hammer Museum of Art and Cultural Center, locID: nr91027284, {'status': 'Created', 'id': 1452, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1452', 'warnings': []}
INFO 2019-08-22 15:27:56,553   Name: Art Institute of Chicago, locID: n78096940, {'status': 'Created', 'id': 1453, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1453', 'warnings': []}
INFO 2019-08-22 15:28:00,221   Name: Fort Worth Art Center-Museum, locID: n80033902, {'status': 'Created', 'id': 1454, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1454', 'warnings': []}
INFO 2019-08-22 15:28:01,233   Name: Los Angeles County Museum of Art, locID: n78097041, {'status': 'Created', 'id': 1455, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1455', 'warnings': []}
INFO 2019-08-22 15:28:01,655   Name: San Francisco Museum of Modern Art, locID: n79139490, {'status': 'Created', 'id': 1456, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1456', 'warnings': []}
INFO 2019-08-22 15:28:02,105   Name: University of California, Los Angeles. Oral History Program, locID: n50051003, {'status': 'Created', 'id': 1457, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1457', 'warnings': []}
INFO 2019-08-22 15:28:02,533   Name: Miami International Airport, locID: n50075033, {'status': 'Created', 'id': 1458, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1458', 'warnings': []}
INFO 2019-08-22 15:28:06,116   Name: Real Museo borbonico (Naples, Italy), locID: no90024918, {'status': 'Created', 'id': 1459, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1459', 'warnings': []}
INFO 2019-08-22 15:28:06,530   Name: Comédie-Italienne (Paris, France), locID: n89642527, {'status': 'Created', 'id': 1460, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1460', 'warnings': []}
INFO 2019-08-22 15:28:06,956   Name: Teatro della Pergola, locID: n2002074515, {'status': 'Created', 'id': 1461, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1461', 'warnings': []}
INFO 2019-08-22 15:28:07,361   Name: Teatro Farnese (Parma, Italy), locID: n88020905, {'status': 'Created', 'id': 1462, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1462', 'warnings': []}
INFO 2019-08-22 15:28:07,789   Name: Teatro regio (Parma, Italy), locID: n81141864, {'status': 'Created', 'id': 1463, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1463', 'warnings': []}
INFO 2019-08-22 15:28:08,206   Name: Théâtre-Italien (Paris, France), locID: n50079464, {'status': 'Created', 'id': 1464, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1464', 'warnings': []}
INFO 2019-08-22 15:28:08,624   Name: Wiener Kunstgewerbe-Schule, locID: no2006001125, {'status': 'Created', 'id': 1465, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1465', 'warnings': []}
INFO 2019-08-22 15:28:09,047   Name: Wiener Werkstätte, locID: n79120906, {'status': 'Created', 'id': 1466, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1466', 'warnings': []}
INFO 2019-08-22 15:28:09,472   Name: Brücke (Artists' group), locID: n80128691, {'status': 'Created', 'id': 1467, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1467', 'warnings': []}
INFO 2019-08-22 15:28:09,884   Name: Neue Künstlervereinigung München, locID: n84111899, {'status': 'Created', 'id': 1468, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1468', 'warnings': []}
INFO 2019-08-22 15:28:10,317   Name: Rossiĭskai︠a︡ akademii︠a︡ khudozhestvennykh nauk, locID: n87856837, {'status': 'Created', 'id': 1469, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1469', 'warnings': []}
INFO 2019-08-22 15:28:10,777   Name: Germanisches Nationalmuseum Nürnberg, locID: n81047063, {'status': 'Created', 'id': 1470, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1470', 'warnings': []}
INFO 2019-08-22 15:28:11,184   Name: Piper Verlag, locID: n94078357, {'status': 'Created', 'id': 1471, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1471', 'warnings': []}
INFO 2019-08-22 15:28:11,596   Name: Sonderbund Westdeutscher Kunstfreunde und Künstler, locID: n82256822, {'status': 'Created', 'id': 1472, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1472', 'warnings': []}
INFO 2019-08-22 15:28:12,005   Name: Kasmin Limited, locID: no2012098570, {'status': 'Created', 'id': 1473, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1473', 'warnings': []}
INFO 2019-08-22 15:28:12,420   Name: Bibliotheca Hertziana, Max-Planck-Institut, locID: n84012987, {'status': 'Created', 'id': 1474, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1474', 'warnings': []}
INFO 2019-08-22 15:28:12,827   Name: Cleveland Museum of Art, locID: n78087650, {'status': 'Created', 'id': 1475, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1475', 'warnings': []}
INFO 2019-08-22 15:28:13,303   Name: Chiesa della Martorana (Palermo, Italy), locID: n88232772, {'status': 'Created', 'id': 1476, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1476', 'warnings': []}
INFO 2019-08-22 15:28:13,747   Name: Duomo di Monreale, locID: n86002542, {'status': 'Created', 'id': 1477, 'lock_version': 0, 'stale': True, 'uri': '/agents/corporate_entities/1477', 'warnings': []}
